GEOID20,District
340076066001015,5
340076066001016,5
340076066001020,5
340076066001021,5
340076066001022,5
340076066001023,5
340076066001024,5
340076066001025,5
340076066001026,5
340076066001029,5
340076066001030,5
340076066001031,5
340076066001044,5
340076066001045,5
340076026012022,5
340076026012041,5
340076065001000,6
340076032014000,6
340076032014001,6
340076032014002,6
340076032014003,6
340076032014004,6
340076032014005,6
340076032014006,6
340076032014007,6
340076032014008,6
340076032014009,6
340076032014010,6
340076032014011,6
340076032014012,6
340076032014013,6
340076032014014,6
340076032014015,6
340076032014016,6
340076032014017,6
340076032014018,6
340076032014019,6
340076032014020,6
340076032014021,6
340076032014022,6
340076032014023,6
340076032014024,6
340076032022000,6
340076032022001,6
340076032022002,6
340076032022003,6
340076032022005,6
340076032022006,6
340076032022007,6
340076032022008,6
340076032022009,6
340076032022010,6
340076032022011,6
340076032022012,6
340076032022014,6
340076032023015,6
340076032023016,6
340076032023017,6
340076032023018,6
340076032023019,6
340076032023020,6
340076032023021,6
340076032023022,6
340076032023023,6
340076032023024,6
340057029142029,7
340057030001000,8
340057030001035,8
340057030003005,8
340057030003006,8
340057030003007,8
340057030003008,8
340057030003009,8
340057030003010,8
340057030003011,8
340057030003012,8
340057030003013,8
340057030003014,8
340057030003015,8
340057030003016,8
340057030003017,8
340057030003018,8
340057030003019,8
340057030003020,8
340057030003022,8
340057030003023,8
340057030003024,8
340057030003025,8
340057030003026,8
340057030003027,8
340057030003043,8
340057030003053,8
340057030003054,8
340057030003056,8
340057030003057,8
340057030003058,8
340057030003059,8
340057030003060,8
340057030003061,8
340259900000008,11
340259900000009,11
340259900000001,13
340259900000002,13
340259900000003,13
340259900000004,13
340259900000005,13
340259900000006,13
340259900000007,13
340259900000010,13
340390336001000,20
340390336001001,20
340390336001002,20
340390336001003,20
340390336001004,20
340390336001005,20
340390336001006,20
340390336001007,20
340390336001008,20
340390336001009,20
340390336001010,20
340390336001011,20
340390336001012,20
340390336001013,20
340390336001014,20
340390336001015,20
340390336002009,20
340390336002010,20
340390336002027,20
340390336002028,20
340390336002029,20
340390336002030,20
340390336002031,20
340390336002032,20
340390336002033,20
340390336002034,20
340390336002035,20
340390338004013,22
340130231001000,28
340130231001001,28
340130231001002,28
340130231001006,28
340130231001007,28
340130231001008,28
340130231001009,28
340130231001010,28
340130050001003,28
340130050001010,28
340130050001011,28
340130050001012,28
340130050001013,28
340130050001014,28
340130050002000,28
340130050002001,28
340130050002002,28
340130050002003,28
340130050002005,28
340130232001002,28
340130232001003,28
340130232001004,28
340130232001005,28
340130232001006,28
340130232001007,28
340130232001008,28
340130048021000,28
340130048023000,28
340130048023001,28
340130048023002,28
340130048023003,28
340130048023004,28
340130048023005,28
340130048023006,28
340130048023007,28
340130048023008,28
340130048023009,28
340130048023010,28
340130048023011,28
340130048023012,28
340130048023013,28
340130048023014,28
340130048023015,28
340130019001000,28
340130019001002,28
340130019001003,28
340130019001008,28
340130019001009,28
340130019001010,28
340130019001011,28
340130019001012,28
340130019001013,28
340130019001014,28
340130019001017,28
340130019001018,28
340130019001019,28
340130037001011,28
340130037001012,28
340130037001013,28
340130037001014,28
340130231002000,28
340130231002001,28
340130231002002,28
340130231002004,28
340130231002005,28
340130231002006,28
340130231002007,28
340130231002008,28
340130026001000,28
340130026001001,28
340130026001002,28
340130026001003,28
340130026001004,28
340130026001005,28
340130026001006,28
340130026001007,28
340130026001011,28
340130231001003,28
340130231001004,28
340130231001005,28
340130231002003,28
340130028001002,29
340130028001003,29
340130028001004,29
340130028001005,29
340130028001006,29
340130028001010,29
340130038002000,29
340130038002001,29
340130038002002,29
340130038002003,29
340130038002004,29
340130038002005,29
340130038002011,29
340130230001008,29
340130230001009,29
340130230001010,29
340130230002006,29
340130230002007,29
340130230002008,29
340130230002009,29
340130230002010,29
340130057001045,29
340130227002000,29
340130227002002,29
340130227002003,29
340130057001029,29
340130057001030,29
340130057001031,29
340130057001032,29
340130057001033,29
340130057001034,29
340130057001035,29
340130057001036,29
340130057001037,29
340130057001038,29
340130057001039,29
340130057001040,29
340130057001041,29
340130057001042,29
340130057001043,29
340130057001044,29
340130057001046,29
340130057001047,29
340130057001048,29
340130057001049,29
340130057001050,29
340130057001051,29
340130057001052,29
340130057001053,29
340130057001054,29
340130057001055,29
340130057002001,29
340130057002004,29
340130057002005,29
340130227002001,29
340130227002004,29
340130227003003,29
340130227003007,29
340130227003008,29
340130227003009,29
340130227003010,29
340130227003011,29
340130227003012,29
340139802001017,29
340139802001021,29
340139802001022,29
340139802001023,29
340139802001024,29
340139802001061,29
340139802001062,29
340139802001063,29
340139802001064,29
340139802001065,29
340139802001066,29
340139802001067,29
340139802001068,29
340139802001071,29
340139802001072,29
340139802001073,29
340139802001074,29
340139802001075,29
340139802001076,29
340139802001077,29
340139802001078,29
340139802001079,29
340139802001080,29
340139802001081,29
340139802001110,29
340139802001111,29
340139802001112,29
340139802001113,29
340139802001114,29
340139802001115,29
340139802001116,29
340139802001117,29
340139802001118,29
340139802001119,29
340139802001120,29
340139802001121,29
340139802001124,29
340139802001126,29
340130018001001,29
340130018001003,29
340130018001004,29
340130038001004,29
340130038001005,29
340130038001006,29
340130038001007,29
340130028001007,29
340130028001008,29
340130028001009,29
340130028001011,29
340130028001012,29
340130028001013,29
340130028001014,29
340130038002009,29
340130038002010,29
340130018001000,29
340130018001002,29
340130018001005,29
340130018001006,29
340130018002000,29
340130018002001,29
340130018002002,29
340130018002003,29
340130018002004,29
340130018002005,29
340130018002006,29
340130018002007,29
340130018002008,29
340170031012000,31
340170031022002,31
340170027003001,31
340170027003002,31
340170027003003,31
340170027003004,31
340170040001000,31
340170040001001,31
340170040001002,31
340170040001003,31
340170040001004,31
340170040001005,31
340170040001006,31
340170040001008,31
340170030002002,31
340170030002003,31
340170030003001,31
340170030003002,31
340170064002001,31
340170065001016,31
340170073002003,31
340170073002011,31
340170073002016,31
340170073002014,31
340170073002015,31
340170027002001,31
340170027002002,31
340170027002007,31
340170027004003,31
340170027004004,31
340170028005001,31
340170064002000,31
340170030003003,32
340170030003004,32
340170031011000,32
340170031012001,32
340170031012002,32
340170031022001,32
340170027001008,32
340170027001010,32
340170027001011,32
340170027001012,32
340170030002001,32
340170064003004,32
340170064003005,32
340170065001017,32
340170073001000,32
340170073001001,32
340170073001002,32
340170073002000,32
340170073002001,32
340170073002002,32
340170074002000,32
340170074002001,32
340170074002002,32
340170075004000,32
340170075004001,32
340170075004002,32
340170075004003,32
340170027001013,32
340170028005000,32
340170064001000,32
340170064001001,32
340170064001002,32
340170064001003,32
340170064001004,32
340170064001005,32
